skalibrowany czujnik	moje odczyty do skalibrowania
747	481.55
733	421.02
710	468.53
465.9	367.17
445.9	357.26
415.3	347.62
397.5	338.23
374.9	329.1
349.6	320.21
336.2	311.57
311.4	303.16
305.2	294.97
288.8	287.01
255.9	264.38
241.8	257.24
226.2	250.3
216.3	243.54
207.4	236.97
199.8	230.57
192.5	224.34
185.1	218.29
178.8	212.39
173.2	206.66
167.5	201.08
157.3	195.65
151.5	190.37
146.8	185.23
135.4	176.36
130.2	166.02
128.1	166.02
120	140.88
118.7	157.18
114.4	152.93
110.3	148.8
103	140.88
100	122.86
98.5	133.37
93.2	129.77
88.9	122.86
85	119.54
80.7	113.17
52	71.07
27.5	42.25
22	27.27
16	24.44
13	17.12
12	15.77
8	11.67
3.5	5
1.86	2.89
